                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.3416,                0.64714,                 1.0529,                0.96253,                0.82924,                 0.8809,                0.55467,                 1.4263,                0.79401,                0.94835,               0.007294,               0.007294,               0.007294
                     84,                 1.3393,                0.64429,                  1.054,                 0.9623,                0.82904,                0.88071,                0.55474,                 1.4247,                0.79422,                0.94816,               0.007261,               0.007261,               0.007261
                     85,                 1.3385,                0.64437,                 1.0531,                0.96405,                0.82842,                0.88057,                0.55453,                 1.4244,                 0.7923,                0.94786,               0.007228,               0.007228,               0.007228
                     86,                 1.3386,                0.64463,                 1.0524,                0.96527,                0.82799,                0.88036,                0.55443,                 1.4241,                0.79054,                0.94763,               0.007195,               0.007195,               0.007195
                     87,                  1.336,                0.64019,                 1.0518,                0.96426,                0.82895,                0.88089,                0.55527,                 1.4224,                0.79092,                0.94742,               0.007162,               0.007162,               0.007162
                     88,                 1.3376,                0.64583,                 1.0519,                0.96314,                0.82972,                0.88038,                0.55595,                 1.4221,                0.78814,                0.94726,               0.007129,               0.007129,               0.007129
                     89,                 1.3365,                0.64284,                 1.0521,                0.96247,                 0.8309,                 0.8811,                0.55642,                  1.421,                0.78525,                0.94699,               0.007096,               0.007096,               0.007096
                     90,                 1.3305,                0.64081,                 1.0482,                0.96398,                0.83003,                0.88126,                0.55719,                  1.422,                0.78569,                0.94695,               0.007063,               0.007063,               0.007063
                     91,                 1.3337,                0.64042,                 1.0512,                0.96412,                0.83006,                0.88139,                0.55764,                 1.4189,                0.78522,                0.94661,                0.00703,                0.00703,                0.00703
                     92,                  1.335,                0.63836,                 1.0512,                0.96372,                0.83048,                 0.8811,                0.55766,                 1.4178,                0.78536,                0.94629,               0.006997,               0.006997,               0.006997
                     93,                  1.332,                0.63736,                 1.0504,                0.96295,                0.83123,                0.88104,                0.55762,                 1.4175,                0.78726,                0.94602,               0.006964,               0.006964,               0.006964
                     94,                 1.3334,                 0.6405,                 1.0505,                0.96262,                0.83164,                0.88147,                 0.5583,                  1.416,                 0.7835,                0.94583,               0.006931,               0.006931,               0.006931
                     95,                 1.3282,                0.63451,                 1.0495,                0.96229,                0.83327,                0.88237,                0.55921,                 1.4157,                0.77985,                0.94569,               0.006898,               0.006898,               0.006898
                     96,                 1.3299,                0.63972,                  1.049,                0.96405,                0.83237,                0.88271,                0.55977,                 1.4145,                0.77647,                0.94561,               0.006865,               0.006865,               0.006865
                     97,                 1.3275,                0.63689,                 1.0471,                0.96444,                0.83243,                0.88289,                0.56024,                 1.4143,                0.77399,                0.94547,               0.006832,               0.006832,               0.006832
                     98,                 1.3247,                0.63551,                 1.0473,                0.96369,                0.83286,                0.88291,                0.56023,                 1.4167,                0.77507,                 0.9454,               0.006799,               0.006799,               0.006799
                     99,                 1.3242,                0.63443,                 1.0464,                0.96493,                0.83233,                0.88291,                0.55987,                  1.416,                0.77682,                0.94534,               0.006766,               0.006766,               0.006766
                    100,                 1.3246,                  0.635,                  1.047,                0.96424,                0.83188,                0.88238,                0.55995,                 1.4155,                0.77928,                0.94501,               0.006733,               0.006733,               0.006733
                    101,                 1.3253,                 0.6338,                  1.047,                0.96536,                0.83038,                0.88235,                0.56089,                 1.4123,                0.77761,                 0.9443,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.3241,                0.63185,                  1.049,                0.96508,                0.82972,                0.88241,                0.56057,                  1.413,                0.77862,                 0.9444,               0.006667,               0.006667,               0.006667
                    103,                 1.3236,                0.63287,                 1.0472,                0.96346,                0.83106,                0.88226,                0.56071,                 1.4124,                0.78068,                0.94416,               0.006634,               0.006634,               0.006634
                    104,                 1.3208,                0.62973,                 1.0469,                0.96245,                0.83192,                0.88256,                 0.5612,                 1.4111,                0.78066,                0.94389,               0.006601,               0.006601,               0.006601
                    105,                 1.3186,                0.63079,                 1.0453,                0.96271,                0.83253,                0.88268,                0.56057,                 1.4094,                0.77958,                 0.9438,               0.006568,               0.006568,               0.006568
                    106,                 1.3187,                0.62918,                 1.0464,                0.96216,                 0.8331,                 0.8826,                0.56057,                  1.409,                 0.7788,                 0.9441,               0.006535,               0.006535,               0.006535
                    107,                 1.3156,                0.62983,                  1.045,                0.96359,                0.83147,                0.88248,                0.56039,                 1.4083,                0.77722,                0.94366,               0.006502,               0.006502,               0.006502
                    108,                 1.3177,                0.63093,                  1.045,                0.96295,                0.83306,                0.88239,                0.56164,                 1.4063,                0.77363,                 0.9433,               0.006469,               0.006469,               0.006469
                    109,                 1.3149,                0.62972,                 1.0438,                0.96509,                 0.8314,                0.88224,                0.56212,                 1.4054,                0.77256,                 0.9431,               0.006436,               0.006436,               0.006436
                    110,                 1.3167,                0.62952,                 1.0457,                0.96414,                0.83314,                0.88292,                0.56238,                 1.4049,                0.77013,                0.94263,               0.006403,               0.006403,               0.006403
                    111,                 1.3151,                0.62732,                  1.043,                 0.9638,                0.83454,                0.88293,                0.56197,                 1.4028,                0.76984,                0.94221,                0.00637,                0.00637,                0.00637
                    112,                 1.3116,                0.62501,                 1.0431,                0.96469,                0.83481,                0.88303,                0.56226,                 1.4017,                0.77037,                0.94171,               0.006337,               0.006337,               0.006337
                    113,                 1.3173,                0.62711,                 1.0456,                0.96331,                0.83475,                0.88313,                0.56204,                 1.4002,                0.76776,                0.94157,               0.006304,               0.006304,               0.006304
                    114,                 1.3126,                0.62586,                 1.0431,                0.96279,                 0.8341,                0.88317,                0.56332,                 1.3977,                0.76685,                0.94128,               0.006271,               0.006271,               0.006271
                    115,                 1.3099,                0.62433,                 1.0427,                0.96252,                0.83419,                0.88369,                0.56348,                 1.3967,                0.76688,                0.94123,               0.006238,               0.006238,               0.006238
                    116,                 1.3117,                0.62499,                 1.0436,                0.96252,                0.83423,                0.88435,                0.56374,                 1.3966,                0.76679,                 0.9411,               0.006205,               0.006205,               0.006205
                    117,                 1.3108,                0.62472,                 1.0425,                0.96323,                0.83212,                0.88404,                0.56431,                  1.395,                0.76619,                0.94079,               0.006172,               0.006172,               0.006172
                    118,                 1.3086,                0.62384,                 1.0436,                0.96266,                0.83011,                0.88382,                0.56439,                 1.3936,                0.76735,                0.94062,               0.006139,               0.006139,               0.006139
                    119,                 1.3069,                0.62293,                 1.0394,                0.96151,                0.83077,                0.88439,                 0.5646,                 1.3929,                0.76697,                0.94012,               0.006106,               0.006106,               0.006106
                    120,                 1.3052,                0.62067,                 1.0412,                0.96077,                0.83136,                0.88406,                0.56503,                 1.3919,                0.76679,                0.94009,               0.006073,               0.006073,               0.006073
                    121,                 1.3056,                0.62167,                 1.0402,                0.96186,                0.83164,                0.88447,                0.56607,                  1.392,                0.76226,                0.93982,                0.00604,                0.00604,                0.00604
                    122,                 1.3026,                0.61879,                 1.0403,                0.96243,                0.83265,                0.88444,                0.56597,                 1.3916,                0.76126,                0.93988,               0.006007,               0.006007,               0.006007
                    123,                 1.3032,                0.61784,                 1.0414,                0.96197,                0.83461,                0.88462,                0.56647,                 1.3921,                0.76096,                0.93967,               0.005974,               0.005974,               0.005974
                    124,                 1.3018,                0.61789,                 1.0395,                0.96064,                 0.8356,                0.88477,                0.56662,                 1.3904,                0.76042,                0.93942,               0.005941,               0.005941,               0.005941
                    125,                 1.3024,                0.61779,                 1.0403,                0.96288,                0.83525,                0.88447,                 0.5669,                 1.3893,                0.76076,                0.93932,               0.005908,               0.005908,               0.005908
                    126,                 1.3006,                0.61748,                 1.0382,                0.96457,                0.83449,                0.88479,                 0.5669,                  1.388,                 0.7603,                0.93912,               0.005875,               0.005875,               0.005875
                    127,                 1.3012,                0.61907,                 1.0398,                0.96524,                0.83384,                0.88502,                0.56759,                 1.3866,                0.75943,                0.93873,               0.005842,               0.005842,               0.005842
                    128,                 1.3016,                0.61532,                 1.0399,                0.96453,                0.83449,                0.88513,                0.56761,                 1.3867,                0.75807,                0.93831,               0.005809,               0.005809,               0.005809
                    129,                 1.2979,                0.61505,                 1.0379,                0.96306,                0.83526,                0.88557,                0.56767,                 1.3853,                0.76016,                0.93805,               0.005776,               0.005776,               0.005776
                    130,                 1.2975,                0.61444,                  1.038,                0.96127,                0.83551,                0.88498,                0.56732,                  1.385,                0.75983,                0.93768,               0.005743,               0.005743,               0.005743
                    131,                 1.2961,                 0.6155,                 1.0359,                0.96219,                0.83473,                0.88541,                0.56823,                 1.3844,                0.75929,                0.93744,                0.00571,                0.00571,                0.00571
                    132,                 1.2922,                0.61196,                 1.0355,                0.96238,                0.83506,                 0.8858,                0.56843,                 1.3834,                0.75806,                0.93706,               0.005677,               0.005677,               0.005677
                    133,                 1.2929,                0.61248,                 1.0366,                0.96306,                0.83512,                0.88548,                0.56876,                 1.3835,                0.75653,                0.93679,               0.005644,               0.005644,               0.005644
                    134,                 1.2933,                0.61118,                 1.0373,                0.96155,                0.83571,                0.88472,                0.56893,                 1.3819,                0.75583,                0.93657,               0.005611,               0.005611,               0.005611
                    135,                 1.2926,                0.61209,                 1.0364,                0.96153,                0.83527,                0.88478,                0.56867,                 1.3823,                0.75788,                0.93621,               0.005578,               0.005578,               0.005578
                    136,                 1.2947,                0.61139,                 1.0362,                0.96338,                  0.834,                  0.885,                0.56926,                 1.3813,                0.75926,                0.93593,               0.005545,               0.005545,               0.005545
                    137,                  1.291,                0.60896,                 1.0356,                0.96395,                0.83367,                0.88507,                0.56927,                 1.3817,                0.75975,                0.93576,               0.005512,               0.005512,               0.005512
                    138,                 1.2896,                0.60938,                 1.0366,                0.96071,                0.83555,                0.88449,                0.56897,                 1.3813,                 0.7575,                0.93588,               0.005479,               0.005479,               0.005479
                    139,                  1.293,                0.60964,                 1.0358,                0.96153,                0.83645,                0.88467,                 0.5693,                 1.3801,                0.75715,                0.93566,               0.005446,               0.005446,               0.005446
                    140,                 1.2891,                0.61157,                 1.0341,                0.95874,                0.83816,                0.88502,                0.56937,                 1.3798,                0.75757,                0.93545,               0.005413,               0.005413,               0.005413
